Task_ID,Task_Name,Task_Description,Task_Owner,Task_Type,Category,Revised_Category,Category_Match,Complexity,Time_Human,Time_AI,Time_Human_AI,Comments
ISSUE_000343,Per-facility QA re-baseline after each merge or model change,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for amit-pandey-medicodio: Per-facility QA re-baseline after each merge or model change. / Recommended: Automate with Devin — a harness that runs the facility set and diffs against the recorded baseline",amit-pandey-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000335,`Dev_1.0`→`Uat_1.0`→prod promotion PRs on a 448-character template,Work carried out: medicodio-nextgen-integration: repository history was not read (no local checkout with history) / Code now: medicodio-nextgen-integration was not inspected (no local checkout configured) / Reported: Repetitive work reported for sameer-s-mansur: `Dev_1.0`→`Uat_1.0`→prod promotion PRs on a 448-character template. / Recommended: Automate through scripts/tooling — generate the body from the commit range,sameer-s-mansur,Code fix,ENHANCEMENT,ENHANCEMENT,yes,5,05:00,00:30,03:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000344,"Closing review findings by hand, one commit per batch","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for amit-pandey-medicodio: Closing review findings by hand, one commit per batch. / Recommended: Automate with Devin — delegate the mechanical findings, keep the judgement ones",amit-pandey-medicodio,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000346,"Delegate the prompt-registry seed/drift test suite (section order per facility, empty rendered prompt, substitution boundary, cached-failure growth) — every one","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for amit-pandey-medicodio: Delegate the prompt-registry seed/drift test suite (section order per facility, empty rendered prompt, substitution boundary, cached-failure growth) — every one of these is a defect he fixed by hand today. / Recommended: PROPOSE: no approved playbook matched; request human direction.",amit-pandey-medicodio,Code fix,BUG,ENHANCEMENT,no,6,06:00,00:30,03:30,"reported as bug but category MISSING_TEST shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000347,"Delegate the QA re-baseline harness so a model bump costs one run, not a day.","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for amit-pandey-medicodio: Delegate the QA re-baseline harness so a model bump costs one run, not a day. / Recommended: PROPOSE: no approved playbook matched; request human direction.",amit-pandey-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000352,Approving and merging `Dev_1.0`→`Uat_1.0` promotions,"Work carried out: medicodio-nextgen-integration: repository history was not read (no local checkout with history) / Code now: medicodio-nextgen-integration was not inspected (no local checkout configured) / Reported: Repetitive work reported for sumedh-codio: Approving and merging `Dev_1.0`→`Uat_1.0` promotions. / Recommended: Automate through scripts/tooling — auto-merge on green for pure promotions, so the human gate is reserved for prod and carries a written verdict",sumedh-codio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,5,05:00,00:30,03:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000358,The same change authored twice across nodejs and react,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for jatinkushwaha-medicodio: The same change authored twice across nodejs and react. / Recommended: Automate with Devin — shared contract or generated client",jatinkushwaha-medicodio,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000359,Manual `Dev_1.0` sync merges,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for jatinkushwaha-medicodio: Manual `Dev_1.0` sync merges. / Recommended: Continue manually",jatinkushwaha-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000361,"Delegate a regression suite for the encounter decrypt/patch path (recommended 08-28, still open).","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for jatinkushwaha-medicodio: Delegate a regression suite for the encounter decrypt/patch path (recommended 08-28, still open). / Recommended: PROPOSE: no approved playbook matched; request human direction.",jatinkushwaha-medicodio,Code fix,BUG,ENHANCEMENT,no,6,06:00,00:30,03:30,"reported as bug but category MISSING_TEST shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000364,Production-path changes with no tests,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Recurring pattern flagged for jatinkushwaha-medicodio: Production-path changes with no tests. / Recommended: Delegate the metrics/transport test suite",jatinkushwaha-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
