Task_ID,Task_Name,Task_Description,Task_Owner,Task_Type,Category,Revised_Category,Category_Match,Complexity,Time_Human,Time_AI,Time_Human_AI,Comments
ISSUE_000366,Same secret/doc fix applied to 3 repos by hand,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for Murali-Shetty19: Same secret/doc fix applied to 3 repos by hand. / Recommended: Automate through scripts/tooling — shared env-example source",Murali-Shetty19,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,9,07:30,00:30,04:15,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000321,Manual `Dev_1.0 → Dev_2.0` sync PRs,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for amit-pandey-medicodio: Manual `Dev_1.0 → Dev_2.0` sync PRs. / Recommended: Automate through scripts/tooling — scheduled sync PR with generated manifest",amit-pandey-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000322,Hand-made `dev → uat` promotion PRs,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for amit-pandey-medicodio: Hand-made `dev → uat` promotion PRs. / Recommended: Same manifest generator",amit-pandey-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000325,Regression tests for the writeback cron under 2+ replicas (Devin can extend today's `withCronLock` spec).,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for amit-pandey-medicodio: Regression tests for the writeback cron under 2+ replicas (Devin can extend today's `withCronLock` spec). / Recommended: PROPOSE: no approved playbook matched; request human direction.",amit-pandey-medicodio,Code fix,BUG,ENHANCEMENT,no,6,06:00,00:30,03:30,"reported as bug but category MISSING_TEST shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000331,"Regression tests for cron-expression edge cases (blank, nonzero seconds, day-constraint intersection) — the last three findings on `#584`/`#657` are exactly thi","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for jatinkushwaha-medicodio: Regression tests for cron-expression edge cases (blank, nonzero seconds, day-constraint intersection) — the last three findings on `#584`/`#657` are exactly this. / Recommended: PROPOSE: no approved playbook matched; request human direction.",jatinkushwaha-medicodio,Code fix,BUG,ENHANCEMENT,no,6,06:00,00:30,03:30,"reported as bug but category MISSING_TEST shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000332,"Multi-replica test harness for the import trigger (two workers, one lock).","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for jatinkushwaha-medicodio: Multi-replica test harness for the import trigger (two workers, one lock). / Recommended: PROPOSE: no approved playbook matched; request human direction.",jatinkushwaha-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000339,Manual `client_configs` sync from prod DB,Work carried out: nextgen-codio-engine: repository history shows no commits on 2026-09-18 / Code now: nextgen-codio-engine reviewed read-only (987 source file(s)); no file paths were reported / Reported: Repetitive work reported for avinash-codio: Manual `client_configs` sync from prod DB. / Recommended: Automate through scripts/tooling — export script + generated diff PR,avinash-codio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,5,05:00,00:30,03:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000360,"Screenshot-diff replay harness for the split flow (""one stitched picture per split"" is already captured — assert on it).","Work carried out: medicodio-nextgen-rf-rpa-automation: repository history was not read (no local checkout with history) / Code now: medicodio-nextgen-rf-rpa-automation was not inspected (no local checkout configured) / Reported: Delegation opportunity recorded for Sumedh Kaulgud: Screenshot-diff replay harness for the split flow (""one stitched picture per split"" is already captured — assert on it). / Recommended: INVESTIGATE AND PROPOSE: no implementation until a human approves.",Sumedh Kaulgud,Code fix,ENHANCEMENT,ENHANCEMENT,yes,4,04:00,00:15,02:15,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000363,Lockfile churn repair after merges,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for Karthik Khatavkar: Lockfile churn repair after merges. / Recommended: Automate through scripts/tooling — `npm ci` check in CI",Karthik Khatavkar,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000370,Retry/back-off tests for eCW PPV lookups (Good Devin Candidate).,Work carried out: medicodio-nextgen-integration: repository history was not read (no local checkout with history) / Code now: medicodio-nextgen-integration was not inspected (no local checkout configured) / Reported: Delegation opportunity recorded for sameer-s-mansur / shaheen-khan11: Retry/back-off tests for eCW PPV lookups (Good Devin Candidate). / Recommended: INVESTIGATE AND PROPOSE: no implementation until a human approves.,sameer-s-mansur / shaheen-khan11,Code fix,ENHANCEMENT,ENHANCEMENT,yes,4,04:00,00:15,02:15,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
