Task_ID,Task_Name,Task_Description,Task_Owner,Task_Type,Category,Revised_Category,Category_Match,Complexity,Time_Human,Time_AI,Time_Human_AI,Comments
ISSUE_000304,KB-table-driven rule redesigns verified by hand,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for Medicodio-Amit: KB-table-driven rule redesigns verified by hand. / Recommended: Automate with Devin — generate per-row fixtures from the KB table so each rule row has a test",Medicodio-Amit,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000306,Delegate recall-precision tests for the episodic memory feature in #393 before it is marked ready.,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for Medicodio-Amit: Delegate recall-precision tests for the episodic memory feature in #393 before it is marked ready. / Recommended: PROPOSE: no approved playbook matched; request human direction.",Medicodio-Amit,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000309,Prompt/flag registry plumbing per integration,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for amit-pandey-medicodio: Prompt/flag registry plumbing per integration. / Recommended: Automate with Devin — registry contract tests so each new prompt or flag is validated by construction",amit-pandey-medicodio,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000313,Commits landing under an unlinked email,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Recurring pattern flagged for amit-pandey-medicodio: Commits landing under an unlinked email. / Recommended: Link the email to the GitHub account so his Devin leverage is attributed to him",amit-pandey-medicodio,Process change,ENHANCEMENT,ENHANCEMENT,yes,10,05:00,00:30,03:00,"category PROCESS_PRACTICE confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000315,A long-lived exploratory PR with a non-descriptive title,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for Murali-Shetty19: A long-lived exploratory PR with a non-descriptive title. / Recommended: Improve documentation/process — exploratory work belongs on a branch or a draft with a stated purpose, not an open PR",Murali-Shetty19,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000305,"Delegate per-row fixtures for the I.B.9 collapse rules, generated from the KB table.","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for Medicodio-Amit: Delegate per-row fixtures for the I.B.9 collapse rules, generated from the KB table. / Recommended: INVESTIGATE AND PROPOSE: no implementation until a human approves.",Medicodio-Amit,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000312,Split the two open PRs' remaining work into scoped follow-ups with acceptance criteria written from the bot findings.,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for amit-pandey-medicodio: Split the two open PRs' remaining work into scoped follow-ups with acceptance criteria written from the bot findings. / Recommended: PROPOSE: no approved playbook matched; request human direction.",amit-pandey-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000317,Non-descriptive engine PR titles/bodies,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Recurring pattern flagged for Murali-Shetty19: Non-descriptive engine PR titles/bodies. / Recommended: Close it or restate it with a purpose and acceptance criteria",Murali-Shetty19,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000303,Leaving a draft PR open across days with no review surface,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for Medicodio-Amit: Leaving a draft PR open across days with no review surface. / Recommended: Improve documentation/process — a draft is either work-in-progress with a stated finish date or should be marked ready",Medicodio-Amit,Process change,ENHANCEMENT,ENHANCEMENT,yes,8,04:00,00:15,02:15,"category PROCESS_PRACTICE confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000308,Re-running the same Devin Review cycle on one PR,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for amit-pandey-medicodio: Re-running the same Devin Review cycle on one PR. / Recommended: Improve documentation/process — a bot pass is a gate, not a reviewer; require one human verdict before the third bot pass",amit-pandey-medicodio,Process change,ENHANCEMENT,ENHANCEMENT,yes,8,04:00,00:15,02:15,"category PROCESS_PRACTICE confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
