Task_ID,Task_Name,Task_Description,Task_Owner,Task_Type,Category,Revised_Category,Category_Match,Complexity,Time_Human,Time_AI,Time_Human_AI,Comments
ISSUE_000345,"Use Devin to generate a regression suite for the encounter decrypt/patch path, asserting the age field and PHI masking.","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for jatinkushwaha-medicodio: Use Devin to generate a regression suite for the encounter decrypt/patch path, asserting the age field and PHI masking. / Recommended: PROPOSE: no approved playbook matched; request human direction.",jatinkushwaha-medicodio,Code fix,BUG,ENHANCEMENT,no,8,08:00,00:45,04:45,"reported as bug but category MISSING_TEST shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000349,PHI-adjacent change with no tests,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Recurring pattern flagged for jatinkushwaha-medicodio: PHI-adjacent change with no tests. / Recommended: Delegate the regression suite",jatinkushwaha-medicodio,Code fix,BUG,ENHANCEMENT,no,8,08:00,00:45,04:45,"reported as bug but category MISSING_TEST shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000334,Batch/ledger invariants stated in prose then verified by hand,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for sameer-s-mansur: Batch/ledger invariants stated in prose then verified by hand. / Recommended: Automate with Devin — an invariant test suite",sameer-s-mansur,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000316,Promotion fan-out (`Dev_1.0` → `release/prod_1.0` cherry-pick PRs),"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for amit-pandey-medicodio: Promotion fan-out (`Dev_1.0` → `release/prod_1.0` cherry-pick PRs). / Recommended: Automate through scripts — one promotion command that opens both PRs with a generated body",amit-pandey-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000318,Facility-day state semantics corrected in 13 successive PRs,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for amit-pandey-medicodio: Facility-day state semantics corrected in 13 successive PRs. / Recommended: Automate with Devin — one state-machine test suite; each defect becomes a case",amit-pandey-medicodio,Code fix,BUG,ENHANCEMENT,no,6,06:00,00:30,03:30,"reported as bug but category MISSING_TEST shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000319,"Use Devin to generate a state-machine test suite for the facility-day states, seeded with the 13 defects fixed today — it would have caught most of them before ","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for amit-pandey-medicodio: Use Devin to generate a state-machine test suite for the facility-day states, seeded with the 13 defects fixed today — it would have caught most of them before merge. / Recommended: PROPOSE: no approved playbook matched; request human direction.",amit-pandey-medicodio,Code fix,BUG,ENHANCEMENT,no,6,06:00,00:30,03:30,"reported as bug but category MISSING_TEST shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000326,`uat` → `release/prod_3.0` promotion PRs with template-only bodies,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for NandanDate-Medicodio: `uat` → `release/prod_3.0` promotion PRs with template-only bodies. / Recommended: Automate through scripts — generate the body from the merged PR list",NandanDate-Medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000328,"Use Devin to build golden-file tests for `guidelines_journey` per-target attribution across the lanes he added (laterality, BMI/Z68, split, `excludes1`).","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for NandanDate-Medicodio: Use Devin to build golden-file tests for `guidelines_journey` per-target attribution across the lanes he added (laterality, BMI/Z68, split, `excludes1`). / Recommended: PROPOSE: no approved playbook matched; request human direction.",NandanDate-Medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000333,Promotion fan-out,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for sameer-s-mansur: Promotion fan-out. / Recommended: Automate through scripts",sameer-s-mansur,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000335,Template-only PR bodies on promotions,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for sameer-s-mansur: Template-only PR bodies on promotions. / Recommended: Improve process — generated bodies",sameer-s-mansur,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000336,"Use Devin to convert his written batch/ledger invariants into a regression suite (cached re-run, dual writers, event-driven vs RPA warning, blank insurance cate","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for sameer-s-mansur: Use Devin to convert his written batch/ledger invariants into a regression suite (cached re-run, dual writers, event-driven vs RPA warning, blank insurance category). / Recommended: PROPOSE: no approved playbook matched; request human direction.",sameer-s-mansur,Code fix,BUG,ENHANCEMENT,no,6,06:00,00:30,03:30,"reported as bug but category MISSING_TEST shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000344,Manual `Dev_1.0` sync into the feature branch,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for jatinkushwaha-medicodio: Manual `Dev_1.0` sync into the feature branch. / Recommended: Automate through tooling",jatinkushwaha-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000346,Use Devin to table-drive the login error-message contract across API and UI.,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for jatinkushwaha-medicodio: Use Devin to table-drive the login error-message contract across API and UI. / Recommended: PROPOSE: no approved playbook matched; request human direction.",jatinkushwaha-medicodio,Process change,BUG,ENHANCEMENT,no,10,05:00,00:30,03:00,"reported as bug but category PROCESS_PRACTICE shows the capability does not exist yet, so it is an enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000350,Client-config routing edits per specialty,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for Medicodio-Amit: Client-config routing edits per specialty. / Recommended: Automate with Devin — config-driven routing with a validation test",Medicodio-Amit,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000351,Promotion PRs with template bodies,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for Medicodio-Amit: Promotion PRs with template bodies. / Recommended: Automate through scripts",Medicodio-Amit,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000358,Same-minute `uat`→prod promotion,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for avinash-codio: Same-minute `uat`→prod promotion. / Recommended: Improve process — a soak period, or findings-answered gate",avinash-codio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000360,Template-only PR bodies,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for avinash-codio: Template-only PR bodies. / Recommended: Generated bodies",avinash-codio,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000366,Approving three-stage promotion chains,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for sumedh-codio: Approving three-stage promotion chains. / Recommended: Automate through scripts — one promotion PR chain, generated, with one review point",sumedh-codio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000371,Guideline-rule gating fixes verified by reading the rule,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for Shashvi1: Guideline-rule gating fixes verified by reading the rule. / Recommended: Automate with Devin — unit tests per rule predicate",Shashvi1,Tooling / automation,ENHANCEMENT,ENHANCEMENT,yes,7,05:45,00:30,03:30,"category AUTOMATION_OPPORTUNITY confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000372,"Use Devin to generate unit tests for the guideline-rule predicates (`match.present`, exclusion lanes) she has now corrected twice.","Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for Shashvi1: Use Devin to generate unit tests for the guideline-rule predicates (`match.present`, exclusion lanes) she has now corrected twice. / Recommended: PROPOSE: no approved playbook matched; request human direction.",Shashvi1,Code fix,ENHANCEMENT,ENHANCEMENT,yes,6,06:00,00:30,03:30,"category MISSING_TEST confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000375,Same-minute prod promotion with template body,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Repetitive work reported for vishnu-saikarthik: Same-minute prod promotion with template body. / Recommended: Automate through scripts + require findings answered",vishnu-saikarthik,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
ISSUE_000320,Use Devin to write the promotion script that opens the `Dev_1.0`→prod cherry-pick PR with a filled body.,"Work carried out: unresolved repository: repository history was not read (no local checkout with history) / Code now: target repository unresolved, so no code was inspected / Reported: Delegation opportunity recorded for amit-pandey-medicodio: Use Devin to write the promotion script that opens the `Dev_1.0`→prod cherry-pick PR with a filled body. / Recommended: PROPOSE: no approved playbook matched; request human direction.",amit-pandey-medicodio,Code fix,ENHANCEMENT,ENHANCEMENT,yes,7,07:00,00:30,04:00,"category MECHANICAL_MIGRATION confirms the reported enhancement. state DEV_REVIEW, review PENDING. nothing changed (dry run)."
